"","avg_a","q26r3","q26r11"
"2080",2.5,2,4
"294",3.25,1,2
"439",3.25,3,2
"390",3,1,1
"332",3.5,1,4
"1260",2.25,1,6
"1510",3,4,6
"960",2.75,3,3
"1394",2.75,2,2
"1336",3.5,2,2
"1901",3.25,1,3
"741",1.25,2,1
"370",1.75,1,1
"2014",5,5,5
"1931",1.5,1,1
"2368",2.25,2,3
"1288",2.25,1,3
"1750",3.5,2,1
"1732",1.5,1,3
"2296",2.75,2,4
"6",2.5,2,3
"2237",3.25,3,2
"640",3.25,3,5
"1323",2.75,3,4
"508",2.75,1,6
"106",2.75,3,5
"502",3.75,2,4
"2041",3.75,1,6
"1176",3.75,2,6
"1736",3.5,2,6
"1307",1,1,1
"1158",2.5,1,4
"1722",2.75,2,6
"950",2.5,3,2
"244",2.5,2,6
"670",2,1,6
"2243",2.75,1,1
"1241",2.25,1,6
"418",3.25,3,6
"1080",3.5,3,6
"1488",4,2,6
"976",3.25,1,6
"1660",2.75,3,6
"1040",3.25,2,3
"2152",3.5,1,2
"2018",3,3,6
"2063",2.5,3,4
"1300",3,3,6
"1764",3,3,4
"1410",2.75,3,4
"25",3,1,5
"1463",3.75,1,6
"2223",1,1,1
"1213",3.25,2,3
"1020",2.5,2,2
"1627",2.5,1,4
"1563",3.5,1,4
"1769",2.5,2,3
"1969",2.75,1,4
"581",1.75,3,2
"1799",3.25,3,6
"1346",4,3,6
"1569",3.5,4,6
"1159",3,1,6
"231",1.25,2,2
"713",3.5,1,1
"869",2.75,3,6
"2044",2.5,2,6
"1726",2.75,3,5
"973",3,1,6
"1850",3.25,3,2
"922",2.75,2,3
"2092",2.75,3,6
"1871",3.25,3,4
"1059",2.5,3,3
"1609",3.25,3,3
"2239",3,1,6
"761",3.5,1,6
"432",2.25,1,2
"2277",3.25,2,5
"1274",3,1,6
"108",3,3,3
"1757",3.25,3,6
"1915",2.5,2,4
"864",3.75,1,3
"2395",2.75,1,3
"2034",3.25,2,4
"1415",3,1,6
"117",1.75,1,1
"2257",2.25,3,3
"2185",2.5,3,1
"1927",3.5,2,3
"1301",4,2,6
"1224",3,1,2
"2352",3.25,3,6
"170",2.25,2,3
"2212",3,2,3
"860",2.5,1,4
"1923",3,3,6
"351",3.25,1,2
"1626",1.75,1,3
"1173",2,2,2
"494",3.75,3,3
"1121",3.25,1,5
"668",1.5,3,4
"1749",2.75,3,6
"890",3,1,3
"529",1.75,3,4
"329",3.5,4,6
"1494",3.25,6,6
"546",2.25,4,6
"2370",2,1,4
"2279",3,1,5
"1935",1,2,6
"764",2.5,2,2
"1045",2.75,1,6
"1681",3.25,3,6
"317",2.5,2,4
"762",3.25,6,6
"1919",3.25,2,6
"118",2.25,2,3
"179",3,4,3
"2226",1,1,1
"1266",2.75,3,6
"2166",2.5,2,2
"2011",3.5,1,4
"1894",3,1,2
"1866",2.75,1,6
"276",2.75,3,6
"2129",3,3,2
"1997",2.5,4,3
"735",2.25,1,1
"1538",3,4,4
"51",1,1,1
"2097",3.5,1,3
"177",2,1,6
"739",2.75,4,3
"601",2.5,2,6
"810",2.75,2,2
"2064",2.75,3,3
"1942",2.75,2,6
"154",3.5,2,3
"2204",3.25,1,3
"124",4,2,3
"1724",3,3,6
"1332",3.25,5,6
"1070",1.5,2,2
"422",3.25,1,2
"2295",3.25,1,2
"1209",1,3,3
"1281",3,2,3
"1537",3.25,3,2
"1781",1.75,3,3
"1383",3.5,1,6
"2173",1.75,1,2
"60",2.5,1,4
